date,review,score
2020-10-29,훌륭한 순대국. 친절도에서 1점 마이너스,4
2020-10-28,포장하면 공깃밥 안줌. 천원 추가해야함,2
2020-10-26,"먹어본 순댓국 중에선 가장 맛있음. 고기 잡내없고, 상태도 좋음. 정말 대기하는게 아깝지 않음. 다만 직원분들 까칠하고, 불친절한편. 그리고 예전에 비해서, 양이나 가격대가 섞 좋진않음.",5
2020-10-22,"맛이야 뭐 괜찮은데 일하시는 분들 친절이 아주 밑바닥입니다.  사장님 정말 직원 교육 좀 잘 시켜주세요.  부탁합니다.  이제 점점 가기 싫어지고, 주변에서도 그런 이야기 나와요.  아무리 잘나가는 식당도 이러다 망하더라구요. ",1
2020-10-20,순대국내에 순대와 오소리감투를 비롯해 내장과 삼겹수육이 있어 내장순대국에 가까움. 국물은 돼지군내없이 매우 담백하고 뿌연 색답게 묵직한 편임. 그로인해 자칫 물릴 수도 있는 국물을 깻잎이 잡아줌. 간혹 삼겹수육 몇점에서 돼지비린내가 연하게 올라오긴했지만 정말 입이 예민하지않고서는 못느낄듯.(들깨가루나 새우젓을 넣으면 덜함) 간과 들깨가루가 들어있지 않으니 ...,4
2020-10-14,"순대국 특 시키면 저렇게 순대 조금 주세요, 국밥 내용물이 많아서 좋았고 잡내나 비린내가 나지 않아서 깔끔하게 잘 먹을 수 있었습니다  다만, 김치 뚜껑을 닫지않고 테이블에 그냥 두고 파리가 날아다니는 모습을 보니 위생이 조금 안 좋은것 같더라구요...맛만 보면 재방문 의사 넘치는데.. 위생 조금만  더 생각해주시면 좋겠습니다!!",4
2020-10-04,잡내없고 맛있음,4
2020-10-04,매우 괜찮있음,5
2020-08-09,,5
2020-08-04,거품 너무 많이 낀 집 버블버블,2
2020-08-01,,4
2020-07-31,,3
2020-07-26,7천원에 팔아라 ..가격대비 별로임,2
2020-07-25,왜 유명한지 절대 모르겠는집..동네 국밥집 가세요,2
2020-06-07,"걱정스런 마음에 글 남겨봅니다. 오늘 다녀왔는데 주방에서 음식하시는 분들, 서빙 하시는 분들 아무도 마스크 착용 안하셨더라구요. 손님들이야 식사중이니 어쩔 수 없었겠지만 직원분들 아무도 안쓰셔서 너무 놀랐어요. 제가 뭐라 말씀드리기 뭐해서 앞에서 괜히 마스크 매만지며 조심하자 생각했지만 어느분도 자각하지 못하시는거 같았어요. 이 시국에 이런 맛집에서 아무도...",3
2020-05-17,"흠.  내 70평생 먹어본 술국,순대국 최고였음. 맛은 주관적이라 해도 글쎄, 나도 순대국 여러군데서 먹었는데 그 중 가장 내 입맛에 오케이.",5
2020-05-16,인생순대국 시래기땜에 호불호 갈릴수 있는데 호였음,5
2020-05-09,기대했는데 생각만큼 특별한 맛은 아니었음,3
2020-04-19,,5
2020-03-31,시래기가 순대안에 들어있어서 특별한 맛이에요~  다른데서는 맛볼수 없는 맛!  주차도 신경써 주시고 친절하세여 ㅎㅎ ,4
2020-03-25,,3
2020-03-09,딱히 불친절은 못느낌. 다만 순대국이 제 스타일은 아니네요. 야채순대도 그다지,3
2020-03-01,,5
2020-02-11,진하고 깔끔하고 고기가 푸짐함. 달리 말하면 특별한 맛은 아님. 또 그래서 질리지도 않음.,4
2020-02-10,그 맛이 너무 보고싶어요. 나중에 꼭 한번 더 먹엤습니다. ,5
2020-02-06,중학교때부터 다녔는데 점점 순대에 야채만 넣음. 위생이 별로라 이제 안감,2
2020-01-28,순대국맛있었고 친절했음 김치도맛있었음 살코기보다지방위주는 맞는데 그게맛있었음나는,4
2019-10-13,호불호가 갈리는 순대 같내요 저는 순대가 너무 비려서 불호 ,1
2019-09-07,국물이 깔끔하니 맛있다  잡내두 별로 안나궁 ㅋㅋㅋ 근데 부속물보다 순대를 더 많이 넣어주셨으면 ㅜㅠ,4
2019-07-28,이지역엔 없는 맛집으로 소문났으며 깔끔하지만 구수하지 않아 고무 씹는느낌.,2
2019-05-26,신관보다 본관에서 먹음. 비계보다 살코기를 좋아하는데 비계가 많은편이라 어느정도 검안해야함. 국물이 맛남,4
2019-04-27,,4
2019-04-22,텁텁하지 않아서 좋은 순대국 야채순대도 식감이 특이하고 구수한 맛,4
2019-04-20,잡내가 심하지않아서 괜찮아요. 지방에서 순대국 잘한다는집 정도의 수준이지 찾아가서 먹을정도의 맛은 아니네요. 평대로 친절함을 기대할만한집은 아니에요. 내장은 많은데 딱 그가격만큼인거지 많은것도 아니네요. 먹고나서 든 생각은 가격이 너무 비싼감이 있네요. ,3
2019-04-15,순대국 먹으러 점심에 자주갔는데 변경된건 없이 갑자기 7000원에서 8000원으로 올랐네요. 8000원에 먹을만한 가치가 있는지는 깊-이 생각해봐야할 것 같습니다. 하아..주변에 점심먹을만한 곳들이 하나둘 사라져가서 직장인은 정말 힘드네요 ㅜㅜ,1
2019-03-28,"양좀 더주세여, 했더니 쿵 그릇을 놓고 팩 가더이다.. 그래 나 많이 먹습니다. 죄송합니다. 기분이 안좋네유",2
2019-03-22,사장 전나 땍땍거림...  2인분만 포장됌...순대도.체소가 많이들어있어서 별루...,1
2019-03-13,동네 맛집이라 어릴 때부터 종종 먹었는데... 날이 갈수록 서비스가 개판임. 어제는 2인분 포장해왔는데 순대가 딸랑 4개 들어있음 ㅋㅋㅋ 이제는 안 간다,1
2019-02-04,인생순대국,5
2019-01-30,알고있는 순대국집중에 젤 맛있음,5
2019-01-03,맛있음..! 손에꼽히는집,5
2018-11-30,순대국은 최고인 듯.,5
2018-11-09,여기 눈썹찐한 조선족 아짐매랑 서빙하는분들 서비스 엉망 ㅋ 몇번갔는데 반찬 툭놓고가고 좀재수없는곳이지만 맛은 인정.,2
2018-10-19,,4
2018-10-04,"포장 1인분은 안한다는군요. 2인분 이상만, 혼자 먹는 사람 어떻게하라고. 실망이네요.",1
2018-09-29,,5
2018-09-23,별 하나도 아까운집 맛있으면 뭐하나요 사장이 불 친절한데 몇년동안 가던 집이지만 포장사러 갔다가 기분 상했네요 외국에 가져가려고 1인분씩 포장 해주실수 있는지 공손히 여쭤봤는데 대답은 안하고 손사래만 치길래  다시 여쭤보니 화를 내시네요 할아버지께서 손님이 많으셔서  손님 상대하기가 귀찮고 짜증나셨는지 모르겠으나 포장도 손님 아닌가요? 포장은 2인분 부터 ...,1
2018-08-11,사실 일하시는 분의 서비스는 만족스럽다고 할 순 없지만 순대국 맛은 인정! 7천원이라는 가격에 '순대만' 순대국을 시켜놓고 공기밥 안먹고도 이렇게 배부르기 쉽지 않음. 들깨범벅 양념으로 냄새 덮는 그런 순대국이 아니고 순대국의 평양냉면이라 할 만큼 깔끔하니 좋음.,5
2018-08-02,맛이야 입맛따라 틀리겠지만 서비스가 개판임,1
2018-07-07,,3
2018-07-03,,4
2018-07-01,역대로 최악의 순대국집임 이 집이 맛있다고 하는건 걍 음악에서 이야기하는 막귀와 같음..맛은 그렇다치더라도 서비스 개판임  맛집이라고 소문이 나서 그런지 아님 원래부터 그런지 모르겠는데 정말 손님은 안중에 없음  별 1개도 아까움 서비스 그따구로 할꺼면 장사 하지말길,1
2018-05-07,속풀이하러 갔다가 더 마심,4
2018-03-22,,4
2018-01-20,22살 순대국 처음 먹은게 이집이였음 34살 됬는데 전주가서 먹어도 이 집보다 맛있는데 못찾음,5
2017-12-06,고기 누린내가 전혀 없고 국물이 기름지지 않고 담백함,4
2017-11-15,,4
2017-09-18,,4
2017-09-17,먹고나면 든든하고 변함없는 맛입니다,4
2017-08-10,,3
2017-06-17,,1
2017-01-13,,4
2016-12-03,맛있다~ 하지만 가격이 약간 그렇다,3
2016-11-24,,3
2016-11-18,,5
2016-10-18,,4
2016-08-26,,4
2016-07-09,,3
2016-04-26,서울 서남권 5대 순대국으로 알려져 있음 가격7000원  보통 김치 깍뚜기 맜있음  내용물 좋고  국물은 뽀얗고 맜있음  비린내 안나서 줗음,4
2016-04-09,,3
2016-03-16,"서울의 순대국 맛집 얘기 나올 때 자주 언급되는 집. 신동엽도 한번씩 들른다고 한다. 국물에서 비린내가 나지 않고 고기의 양과 질 또한 충실하다. 그러나 이 집의 특장점이라는 느낌보다는 다른 집에서도 7천원을 받는다면 이 정도 퀄리티는 맞춰줄 수 있을거 같다는 느낌이다. 다른 집과는 달리 시래기가 몇 장 들어가는데, 이것이 비린내를 잡아주는 역할을 하는 듯...",4
2016-03-12,,3
2016-03-11,,5
