name,category,address,score,eval_cnt,review_cnt,lat,lng,distance,JMS
미남포차,실내포장마차,신림동 1429-2,4.7,9,43,37.48913,126.9275346,571.5463966247721,5.87
삼촌집,"초밥,롤",신림동 1458-2,4.7,11,16,37.4872926,126.9257245,482.6311706240825,5.83
테이스티빌런,"호프,요리주점",신림동 1433-172,4.9,8,38,37.484705,126.9258531,338.74557988415444,5.8
삼촌네,순대,신림동 1640-38,3.5,13,173,37.4832236,126.9290222,129.266183812478,5.79
서울밥집,한식,신림동 1639-57,3.4,25,27,37.4831599,126.9275566,222.57544869955183,5.79
가야,"호프,요리주점",신림동 1640-44,3.9,10,147,37.4831938,126.929502,120.7089539760918,5.77
마실밤,술집,신림동 1433-227,5.0,7,46,37.4842433,126.927402,198.6773265836042,5.73
맛사랑쭈꾸미 신림점,"해물,생선",신림동 1637-3,4.6,9,37,37.4819831,126.9296437,254.59311568800985,5.72
스타벅스 신림사거리점,커피전문점,신림동 1422-36,4.2,15,12,37.4845659,126.9305815,88.14561633194094,5.71
생생조개,조개,신림동 1587-6,3.6,16,54,37.4833177,126.9261817,324.2101533800775,5.71
하정식당,일본식주점,봉천동 702-78,4.1,11,55,37.4913303,126.9273256,811.2010800247177,5.71
두둑한샤브칼국수 신림점,샤브샤브,신림동 1421-45,4.4,11,24,37.4851443,126.9306705,132.08961301544832,5.69
르브와 신림점,이탈리안,신림동 1637-26,3.3,15,138,37.4817818,126.9292056,279.7789933250796,5.66
마라탕전문점,중식,신대방동 395-69,3.7,18,23,37.4912431,126.9240825,917.789803091108,5.66
수제킹 30Cm돈까스 신림1호점,"돈까스,우동",신림동 1460-1,3.7,23,9,37.4864082,126.9260696,395.44342779554415,5.65
미가할매집,"육류,고기",신림동 1428-21,3.7,16,31,37.4876683,126.9289972,381.9875370899717,5.61
불삼시대,삼겹살,신림동 1432-111,3.5,14,85,37.4850777,126.9281952,156.73616526523244,5.6
초밥아저씨,"초밥,롤",신림동 1602-2,3.3,23,30,37.4814294,126.9281987,341.2221447670285,5.6
왕주먹,"육류,고기",신림동 75-25,3.8,12,63,37.4824714,126.9310229,233.9256770166792,5.59
나는남자닭,치킨,신림동 1424-2,4.1,14,15,37.4863598,126.9296751,232.08374430898755,5.58
마티스커피 신림점,커피전문점,서원동 1638-5,3.7,24,6,37.4827959,126.9289469,175.64581193447427,5.57
손칼국수잘하는집,국수,신림동 1460-1,4.5,11,13,37.4864082,126.9260696,395.44342779554415,5.55
길초밥,"초밥,롤",신림동 1587-29,3.3,20,42,37.4820106,126.9279009,295.26314442677904,5.55
옛날집,"육류,고기",신림동 1413-17,3.9,12,43,37.4853332,126.9324306,271.9465874128794,5.54
배바우,쌈밥,신림동 1641-36,4.8,9,14,37.4813292,126.930562,336.97895999922304,5.53
포36거리 신림역점,베트남음식,신림동 84-23,4.4,8,54,37.4820337,126.9306492,264.0165122118756,5.5
부뚜막,"육류,고기",신림동 1433-74,3.2,12,218,37.4846742,126.9275146,193.923693742562,5.46
할매보쌈,"족발,보쌈",신림동 1432-76,3.8,12,41,37.4856051,126.9292256,152.88901427467948,5.42
스시나마,"초밥,롤",신림동 1641-9,3.1,23,37,37.4831503,126.9299798,128.08542005019072,5.42
홍콩반점0410 신림역점,중화요리,신림동 1639-1,3.9,14,17,37.4836212,126.9270559,240.3662275829625,5.41
